market,method,series,CAGR,Annual volatility,Sharpe (rf=0),Max drawdown
SPX,cointegration,Strategy net,0.0004552669863788,0.0054890584171216,0.0856659089702585,-0.0211514304403832
SPX,cointegration,Strategy gross,0.0009594464482687,0.0054921868638645,0.1773558250445852,-0.0195829781844681
SPX,cointegration,Benchmark,0.0712491433557078,0.1640668176677361,0.5024546212217613,-0.5624407734665133
SPX,distance,Strategy net,-7.007070559261752e-05,0.0124073599595174,0.0005529985511349,-0.0573146065192223
SPX,distance,Strategy gross,0.0037449985147575,0.0123661193579454,0.3084681175523688,-0.0371620170540692
SPX,distance,Benchmark,0.0712491433557078,0.1640668176677361,0.5024546212217613,-0.5624407734665133
STOXX,cointegration,Strategy net,-0.0074467578710475,0.009748103072483,-0.7618497071614223,-0.1090518230966515
STOXX,cointegration,Strategy gross,-0.0062455978451664,0.0096993081442066,-0.6410546069336334,-0.0953979710136536
STOXX,cointegration,Benchmark,0.0255424847011098,0.1828804379039111,0.2311515397772165,-0.6015088306562416
STOXX,distance,Strategy net,0.0020911070500186,0.0148303322307146,0.148259367532619,-0.0343007376642113
STOXX,distance,Strategy gross,0.0061133078134776,0.014791323823938,0.4194511467632967,-0.0256139531421742
STOXX,distance,Benchmark,0.0255424847011098,0.1828804379039111,0.2311515397772165,-0.6015088306562416
